MODULO;CODIGOPARAMETRO;DESCRIPCIONPARAMETRO;FUENTE;VALORPORDEFECTO;VALORPORCENTRO;ORGANIZACION;CENTRO;SERVICIO
Facturación;PA_PASINV0032;Deseo Agrupar como detalle todos aquellos elementos de MIX;SFERE;false;;;;
Facturación;PA_PASINV0033;Deseo Agrupar como detalle todos aquellos elementos de Medicamentos;SFERE;false;;;;
Facturación;PA_PASINV0034;Deseo Agrupar como detalle todos aquellos elementos de Perfiles de Catálogo;SFERE;false;;;;
Facturación;PA_PASINV0035;Deseo Agrupar como detalle todos aquellos elementos de Estancias y Desplazamientos;SFERE;false;;;;
Facturación;PA_PASINV0036;Deseo Agrupar como detalle todos aquellos elementos de Tipos de Subencounter;SFERE;false;;;;
Facturación;PA_PASINV0037;Deseo Agrupar como detalle todos aquellos elementos de Estancias en Quirofano;SFERE;false;;;;
Facturación;PA_PASINV0038;La entidad/tarifa de episodio secundario permite solapamiento de tarifas para elementos imputables.;SFERE;0;;;;
Facturación;PA_PASINV0039;Meses máximos de antigüedad de los subepisodios a aplicar en la facturación;SFERE;36;120;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Facturación;PA_PASINV0040;Facturar Conceptos Fijos sin consumos pendientes;SFERE;false;;;;
Facturación;PA_PASINV0041;Tipo de documento externo por defecto del centro del operador logado.;SFERE;NNESP;;;;
Facturación;PA_PASINV0001;IVA por defecto;SFERE;0;;;;
Facturación;PA_PASINV0003;Redondeo por Defecto;SFERE;0.5;;;;
Facturación;PA_PASINV0020;Parámetro que indica si deben facturarse los tipos de episodios secundarios o no;SFERE;true;;;;
Facturación;PA_PASINV0005;Identificador externo por defecto en factura;SFERE;NNESP;;;;
Facturación;PA_PASINV1055;El sistema permite generar el Fichero de Facturación Electrónica.;SFERE;false;;;;
Facturación;PA_PASINV1058;Comprobación de cobertura de elementos imputables.;SFERE;false;;;;
Facturación;PA_PASINV1059;Indica si el centro usa o no la facturación por MIX;SFERE;false;;;;
Facturación;PA_PASINV1060;Parámetro que indica si al realizar la modificación de un diagnóstico/procedimiento por su equivalente en CIE9/CIE10 se deben mantener los consumos del diagnóstico/procedimiento original;SFERE;false;;;;
Facturación;PA_PASINV1063;Indica si el centro usa o no la facturación de conceptos fijos;SFERE;true;;;;
Facturación;PA_PASINV1064;Indica si el centro usa o no la facturación de entidades/tarifa de aportación;SFERE;true;;;;
Facturación;PA_PASINV1070;Versión de implementación de Factura-e (GENERIC_32: General, GVA_32: Generalitat Valenciana);SFERE;GENERIC_32;;;;
Facturación;PA_PASINV1072;Política de Firmas de Factura-e (facturae31, facturae32);SFERE;facturae31;;;;
Facturación;PA_PASINV1075;"Alias de los certificado a aplicar del almacén de certificados p12 de Factura-e, separados por ; ";SFERE;"cn=facturae_centro_03;cn=facturae_centro_no";;;;
Facturación;PA_PASINV1076;Plugins a aplicar en la generación de Factura-e (DEFAULT, HEADER_PATIENT_NAME_ENTITY, LINE_PATIENT_NAME_ENTITY, ADDITIONAL_DATA_ENTITY, VALIDATOR_LINE);SFERE;DEFAULT,AAB,HEADER_PATIENT_NAME_ENTITY, LINE_PATIENT_NAME_ENTITY, ADDITIONAL_DATA_ENTITY, VALIDATOR_LINE;;;;
Facturación;PA_PASINV1077;Código de las Entidades para filtros en los Plugins a aplicar en la generación de Factura-e;SFERE;5;;;;
Servicios Intermedios;PA_DISMOR0012;Par¿metro para permitir recepcionar con fecha pasada;SFERE;1;;;;
Servicios Intermedios;PA_DISMOR0013;Generacion del numero de muestra por TiCares;SFERE;0;;;;
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;ALERGOLOGÍA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;CARDIOLOGÍA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;CIRUGÍA GENERAL Y DEL APARATO DIGESTIVO
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;CENTRO DE ATENCION INFANTIL TEMPRANA Y APOYO PSICOPEDAGOGICO INTEGRAL
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;APARATO DIGESTIVO
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;OFTALMOLOGÍA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;OTORRINOLARINGOLOGÍA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;MEDICINA FÍSICA Y REHABILITACIÓN
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;TRAUMATOLOGÍA Y CIRUGÍA ORTOPÉDICA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;UROLOGÍA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;COCINA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;ANESTESIOLOGÍA Y REANIMACIÓN
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;ANATOMÍA PATOLÓGICA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;BANCO DE SANGRE
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;FARMACIA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;FISIOTERAPIA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;FISIOTERAPIA PROPIA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;HOSPITAL DE DÍA QUIRÚRGICO
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;INTERCONSULTAS
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;LABORATORIOS
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;P. ESPECIALES Y C. ENFERMERÍA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;ENFERMERÍA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;PRÓTESIS
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;QUIRÓFANOS
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;QUIRÓFANO AMBULATORIO
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;RADIOLOGÍA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;SUMINISTROS
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;LOGOPEDIA CAPACITIVA DIAT
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;LOGOPEDIA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;PSICOLOGÍA CAPACITIVA DIAT
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;PSICOLOGÍA HORARIA DIAT
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;PSICOMOTRICIDAD DIAT
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;REHABILITACIÓN HORARIA DIAT
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;APOYO PSICOPEDAGOGICO INTEGRAL
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;API - LOGOPEDIA HORARIA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;API - LOGOPEDIA CAPACITIVA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;API - APOYO PSICOPEDAGOGICO HORARIO
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;API - FISIOTERAPIA HORARIA
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;API - APOYO PSICOPEDAGOGICO CAPACITIVO
Servicios Intermedios;PA_DISMOR0008;Agenda SI es controlada por Ticares(en función del servicio);SFERE;1;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;API - FISIOTERAPIA CAPACITIVA
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio;SFERE;0;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;LABORATORIOS
Servicios Intermedios;PA_DISMOR0007;Cita obligatoria por servicio;SFERE;0;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;CENTRO DE ATENCION INFANTIL TEMPRANA Y APOYO PSICOPEDAGOGICO INTEGRAL
Servicios Intermedios;PA_DISMOR0035;Enviar por integración sólo la actividad agendada al citar en Servicios Intermedios;SFERE;false;;;;
Servicios Intermedios;PA_DISMOR0034;Indica si se carga por defecto Servicios intermedios en modo actividad;SFERE;false;;;;
Servicios Intermedios;PA_DISMOR0032;Indica si es obligatorio pasar por el estado Validada una petición, antes de poder citar la petición de SSII desde Citas Diferidas;SFERE;0;;;;
Servicios Intermedios;PA_DISMOR0037;Permitir actividades duplicadas en la creación de peticiones;SFERE;true;false;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;LABORATORIOS
Servicios Intermedios;PA_DISMOR0014;Parametro para permite que TiCares genere un numero de muestra por servicio;SFERE;0;;;;
Servicios Intermedios;PA_DISMOR0015;Parámetro para permitir recepcionar con fecha futura;SFERE;true;;;;
Servicios Intermedios;PA_DISMOR0016;Indica el texto a mostrar en el volante de cita en lugar de la fecha/hora de cada cita. Si se deja en blanco se mostrará la fecha/hora de la cita normalmente;SFERE;;;;;
Servicios Intermedios;PA_DISMOR0031;Todas las actividades de una petición de un servicio concreto son admitidas en recepción de pacientes(Sin mostrar el mensaje);SFERE;0;;;;
Servicios Intermedios;PA_DISMOR0017;Admitir automáticamente las peticiones de servicios intermedios al crearse;SFERE;true;;;;
Servicios Intermedios;PA_DISMOR0002;Número de posibles citas a dar para cada agenda;SFERE;10;;;;
Servicios Intermedios;PA_DISMOR0004;Tiempo de refresco de la pantalla de Recepción de Pacientes;SFERE;240000;;;;
Servicios Intermedios;PA_DISMOR0006;Carga del combo estado de trabajo en sala;SFERE;;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Servicios Intermedios;PA_DISMOR0003;Indica si se debe realizar refresco de la pantalla de Recepción de Pacientes;SFERE;1;;;;
Servicios Intermedios;PA_DISMOR0024;Parámetro que activa o desactiva el chequeo de incompatibilidades para peticiones de exploraciones complementarias;SFERE;true;;;;
Servicios Intermedios;PA_DISMOR0018;Número máximo de dias a planificar agendas de servicios intermedios y Rehabilitación;SFERE;370;;;;
Servicios Intermedios;PA_DISMOR0019;Parámetro que indica el número límite de citas que se pueden imprimir en la hoja de dietario de la pantalla citas por agenda;SFERE;50;600;ÁREA HOSPITALARIA SEVILLA;;
Servicios Intermedios;PA_DISMOR0020;Es obligatorio indicar la fecha y operador que toma la muestra para cursar una petición;SFERE;false;;;;
Servicios Intermedios;PA_DISMOR0001;Número de posibles citas a dar;SFERE;2;;;;
Servicios Intermedios;PA_DISMOR0021;Añade directamente el código de muestra leído por la pistola (true/false);SFERE;true;;;;
Servicios Intermedios;PA_DISMOR0005;Imprimir Carta de No Realización;SFERE;patientReceptionNRPrint;;;;
Servicios Intermedios;PA_DISMOR0010;Característica de tramo asociada a las peticiones de quirófano (Código);SFERE;EST;;;;
Servicios Intermedios;PA_DISMOR0027;Perfil a cargar por defecto en la petición de pruebas en la Hoja Analítica;SFERE;;;;;
Servicios Intermedios;PA_DISMOR0023;Parámetro que activa o desactiva el chequeo de peticiones previas (pendientes o realizadas con fecha de validez expirada) de exploraciones complementarias;SFERE;false;;;;
Servicios Intermedios;PA_DISMOR0011;Parámetro que indica si se puede  pedir exploraciones complementarias a cualquier episodio independientemente de que esté o no cerrado;SFERE;FALSE;true;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Vacunas;PA_PRCVAC0001;Edad Adulta;SFERE;18;;;;
Vacunas;PA_PRCVAC0002;Indica si el centro va a usar la funcionalidad de vacunas o no;SFERE;0;;;;
Rehabilitación;PA_DISREH0001;Formulario asociado a prescripción de rehabilitación;SFERE;;;;;
Rehabilitación;PA_DISREH0002;Rehabilitación activa;SFERE;true;;;;
Rehabilitación;PA_DISREH0004;Máximo número de meses en los que realizar búsqueda de huecos al citar tratamiento;SFERE;8;;;;
Rehabilitación;PA_DISREH0003;Gestión de observaciones de tratamiento de rehabilitación en lista de espera;SFERE;false;;;;
Rehabilitación;PA_DISREH0005;Indica el listado de actividades de rehabilitación que tienen que ser únicas en el hueco;SFERE;;;;;
Hospital de Día;PA_DISDHS0003;Control de admisión para sesiones pagadas;SFERE;0;;;;
Hospital de Día;PA_DISDHS0002;Activación del módulo de hospital de día;SFERE;1;;;;
Hospital de Día;PA_DISDHS0001;Formulario asociado a prescripción de hospital de día;SFERE;;;;;
Esterilización;PA_DISSTE0001;Código del árbol de visualización de artículos de esterilización;SFERE;;;;;
Esterilización;PA_DISSTE0004;Código del formato de formulario asociado a los controles biológicos de esterilización;SFERE;;;;;
Esterilización;PA_DISSTE0002;Código del formato de formulario que controla las piezas de artículos;SFERE;;;;;
Esterilización;PA_DISSTE0003;Código del formato de formulario asociado a los lavados de subórdenes de esterilización;SFERE;kk;;;;
Esterilización;PA_DISSTE0005;Código de la unidad funcional de esterilización en el centro;SFERE;;;;;
Discapacidad;PA_PASDIS0010;Unidad funcional por defecto para las UBAS Virtuales de Discapacidad;SFERE;;03-ATTEM;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Discapacidad;PA_PASDIS0010;Unidad funcional por defecto para las UBAS Virtuales de Discapacidad;SFERE;;CAIT;ÁREA HOSPITALARIA SEVILLA;Hospital S.J.D. Sevilla;
Discapacidad;PA_PASDIS0003;Tipos de episodios de Residencia (Discapacidad);SFERE;RES;;;;
Discapacidad;PA_PASDIS0007;Formulario asociado a prescripción de discapacidad;SFERE;;;;;
Discapacidad;PA_PASDIS0009;Gestión de observaciones de tratamiento de discapacidad en lista de espera;SFERE;false;;;;
Discapacidad;PA_PASDIS0011;"Proceso que se asocia al ingresar un paciente según el tipo de subepisodio (KEY_TIPO_SUBEPISODIO:KEY_PROCESO;...)";SFERE;;;;;
Discapacidad;PA_PASDIS0004;Tipos de episodios de Atención de día (Discapacidad);SFERE;ATTEM;;;;
Discapacidad;PASDIS0165;Check Ingresados y Ambulatorio en discapcidad 0|1|2;SFERE;0;;;;
Unidad de Cuidados Intensivos;PA_DISICU0003;Perfil de visualización empleado en la consola de UCI;SFERE;UCI;;;;
Unidad de Cuidados Intensivos;PA_DISICU0004;Perfil de visualización de UCI en base al servicio o rol (1=Servicio, 2=Rol);SFERE;2;;;;
Unidad de Cuidados Intensivos;PA_DISICU0005;Número de vías/pérdidas recientes a mostrar.;SFERE;10;;;;
Unidad de Cuidados Intensivos;PA_DISICU0006;Número de artículos de vías recientes a mostrar.;SFERE;10;;;;
Unidad de Cuidados Intensivos;PA_DISICU0007;Número de cuidados recientes a mostrar.;SFERE;10;;;;
Unidad de Cuidados Intensivos;PA_DISICU0002;Tiempo (en segundos) de refresco automático de la información en la consola de UCI;SFERE;900;;;;
Unidad de Cuidados Intensivos;PA_DISICU0001;Hora base a partir de la que comienzan a mostrarse las gráficas de UCI;SFERE;08:00;;;;
Tratamientos;PA_DISTRE0001;Eliminar sesiones futuras en el alta del tratamiento;SFERE;true;;;;
Cobros;PA_PASBAP0009;Activar circuito de trazabilidad  en apuntes de cobro.;SFERE;1;;;;
Cobros;PA_PASBAP0003;Indica el número máximo facturaS a mostrar en el cobro masivo;SFERE;80;;;;
Cobros;PA_PASBAP0008;Forma de pago en error administrativo directo;SFERE;;;;;
Cobros;PA_PASBAP0006;Código de la forma de pago asociada al Pagaré;SFERE;;;;;
Cobros;PA_PASBAP0005;Código de las formas de pago a excluir en el reporte de cierre de caja (separados por ,);SFERE;;;;;
Cobros;PA_PASBAP0007;El sistema permite cobrar en caja facturas de otras empresas.;SFERE;0;;;;
Cobros;PA_PASBAP0004;El sistema controla la asignación de cajeros a cajas por turnos;SFERE;0;;;;
Cobros;PA_PASBAP0002;Indica el número máximo de lineas de factura a mostrar en la remesa por lineas;SFERE;200;;;;
Cobros;PA_PASBAP0001;Indica el importe máximo permitido para el cobro en efectivo;SFERE;1000;1000;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Logística;PA_COMLOG0002;Uso sistema externo logístico;SFERE;true;;;;
Logística;PA_COMLOG0001;Trazabilidad por Lotes;SFERE;0;;;;
Servicios web;PA_PASSCH0043;Definición algoritmo de búsqueda de pacientes en Servicios Web CEX;SFERE;"NIF_NIE_FN_LIST;NIF_NIE_N_A_LIST;N_A_FN";;;;
Servicios web;PA_COMWEB0001;UserId del Operador que hace uso de los webServices por defecto;SFERE;08-CITAWEBSANITAS;03-CITAWEBSANITAS;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Atención Primaria;PA_PRCREF0001;El sistema usa derivaciones (referencias / contrarreferencias);SFERE;false;;;;
Obstetricia;PA_PASOBS0013;Código del formato de informe de la Hoja Obstétrica;SFERE;OBS_SHEET;;;;
Obstetricia;PA_PASOBS0014;Unidad de enfermería de Monitores;SFERE;;;;;
Obstetricia;PA_PASOBS0012;Código del servicio de Neonatología;SFERE;;;;;
Obstetricia;PA_PASOBS0010;Código del formulario de recogida de datos de la Analgesia Obstétrica;SFERE;ANR_OBS;;;;
Obstetricia;PA_PASOBS0011;La paciente dilata en la cama de ingreso de Hospitalización;SFERE;true;;;;
Obstetricia;PA_PASOBS0001;Activación del módulo de Obstetricia;SFERE;false;;;;
Obstetricia;PA_PASOBS0002;Código del servicio de Obstetricia;SFERE;;;;;
Obstetricia;PA_PASOBS0005;Código del servicio de Urgencias Obstétricas;SFERE;URGOBSBORRAR;;;;
Obstetricia;PA_PASOBS0006;Tiempo (en segundos) de refresco automático de la información en la consola de obstetricia;SFERE;3000;;;;
Obstetricia;PA_PASOBS0007;Código (XKEY) del procedimiento asociado a la cesárea urgente;SFERE;;;;;
Obstetricia;PA_PASOBS0008;Código del quirófano principal para las cesáreas urgentes;SFERE;;;;;
Obstetricia;PA_PASOBS0009;Código del perfil de visualización a mostrar en la consola de obstetricia para las constantes;SFERE;;;;;
Aplicación móvil;PA_COMMOB0002;Última versión de la APP de Atención Domiciliaria para Android;SFERE;;;;;
Aplicación móvil;PA_COMMOB0003;Última versión de la APP de Pacientes para Android;SFERE;;;;;
Aplicación móvil;PA_COMMOB0004;Última versión de la APP de Profesionales para Android;SFERE;;;;;
Aplicación móvil;PA_COMMOB0009;Última versión de la APP de Firma de Documentos para iOS;SFERE;;;;;
Aplicación móvil;PA_COMMOB0006;Última versión de la APP de Atención Domiciliaria para iOS;SFERE;;;;;
Aplicación móvil;PA_COMMOB0001;Código del catálogo de actividades permitidas en la app móvil para la creación de peticiones de laboratorio;SFERE;;;;;
Aplicación móvil;PA_COMMOB0007;Última versión de la APP de Pacientes para iOS;SFERE;;;;;
Aplicación móvil;PA_COMMOB0008;Última versión de la APP de Profesionales para iOS;SFERE;;;;;
Aplicación móvil;PA_COMMOB0005;Última versión de la APP de Firma de Documentos para Android;SFERE;;;;;
Turnos de personal;PA_COMTUR0001;Gestión de turnos del centro;SFERE;false;;;;
Enfermería;PA_CISNUR0011;Máximo número de actividades que se visualizan en la búsqueda del listado de actividades;TiCares;1500;3000;ÁREA HOSPITALARIA MADRID;C. SAN JUAN DE DIOS CIEMPOZUELOS;
Enfermería;PA_CISNUR0011;Máximo número de actividades que se visualizan en la búsqueda del listado de actividades;TiCares;1500;3000;ÁREA HOSPITALARIA CÓRDOBA;H. SAN JUAN DE DIOS DE CORDOBA;
Enfermería;PA_CISNUR0011;Máximo número de actividades que se visualizan en la búsqueda del listado de actividades;TiCares;1500;20;ÁREA PRUEBAS TELVENT;PRUEBAS TELVENT;
Enfermería;PA_CISNUR0011;Máximo número de actividades que se visualizan en la búsqueda del listado de actividades;TiCares;1500;3000;ÁREA HOSPITALARIA MÁLAGA;C. ASISTENCIAL SAN JUAN DE DIOS;
Gestión de agendas y citas;PA_PASSCH0016;Rango de días a partir de la fecha actual para generar el fichero de notificaciones;TiCares;;7;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Gestión de agendas y citas;PA_PASSCH0017;Ruta para la generación de ficheros de notificaciones;TiCares;;;;;
Emergencias;PA_PASEME0012;Tiempo de auto-refresco para la pantalla de Actividades de Urgencias (en segundos);TiCares;300;300;ÁREA HOSPITALARIA DE GRANADA;H. SAN RAFAEL;
Emergencias;PA_PASEME0012;Tiempo de auto-refresco para la pantalla de Actividades de Urgencias (en segundos);TiCares;300;300;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Emergencias;PA_PASEME0013;Motivo de Ingreso de Urgencias por defecto;TiCares;UR;UR;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Emergencias;PA_PASEME0014;Procedencia de Urgencias por defecto;TiCares;;URG;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Emergencias;PA_PASEME0014;Procedencia de Urgencias por defecto;TiCares;;DIP;ÁREA HOSPITALARIA DE GRANADA;H. SAN RAFAEL;
Emergencias;PA_PASEME0014;Procedencia de Urgencias por defecto;TiCares;;DIP;ÁREA HOSPITALARIA CÓRDOBA;H. SAN JUAN DE DIOS DE CORDOBA;
Emergencias;PA_PASEME0015;Tipo de subepisodio por defecto en la admisión de Urgencias;TiCares;;UG;ÁREA HOSPITALARIA DE GRANADA;H. SAN RAFAEL;
Emergencias;PA_PASEME0015;Tipo de subepisodio por defecto en la admisión de Urgencias;TiCares;;UG;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Emergencias;PA_PASEME0015;Tipo de subepisodio por defecto en la admisión de Urgencias;TiCares;;UG;ÁREA HOSPITALARIA DE JEREZ;HOSPITAL SAN JUAN GRANDE;
Emergencias;PA_PASEME0015;Tipo de subepisodio por defecto en la admisión de Urgencias;TiCares;;UG;ÁREA HOSPITALARIA TENERIFE;SAN JUAN DE DIOS DE TENERIFE;
Emergencias;PA_PASEME0015;Tipo de subepisodio por defecto en la admisión de Urgencias;TiCares;;UG;ÁREA HOSPITALARIA CÓRDOBA;H. SAN JUAN DE DIOS DE CORDOBA;
Emergencias;PA_PASEME0016;Medio de llegada por defecto en la admisión de Urgencias;TiCares;;MP;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Emergencias;PA_PASEME0017;Financiación por defecto en la admisión de Urgencias;TiCares;;9;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Emergencias;PA_PASEME0018;Unidad funcional por defecto para las UBAS Virtuales de Urgencias;TiCares;;03-CURG;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Emergencias;PA_PASEME0018;Unidad funcional por defecto para las UBAS Virtuales de Urgencias;TiCares;;25-B;ÁREA HOSPITALARIA MÁLAGA;C. RESIDENCIA ANTEQUERA;
Emergencias;PA_PASEME0018;Unidad funcional por defecto para las UBAS Virtuales de Urgencias;TiCares;;15-CONSEME;ÁREA HOSPITALARIA ALJARAFE;H. SAN JUAN DE DIOS DEL ALJARAFE;
Emergencias;PA_PASEME0018;Unidad funcional por defecto para las UBAS Virtuales de Urgencias;TiCares;;08-CONSEME;ÁREA HOSPITALARIA CÓRDOBA;H. SAN JUAN DE DIOS DE CORDOBA;
